network,population,true_model,sigma,base_SS,modelcompare,TAT,TAT50
None,All,13,0.2,100,AIC,0.23776,0
None,All,2,0.2,100,AIC,0.265932,0
None,All,7,0.2,100,AIC,0.219068,0
None,All,13,0.2,100,BIC,0.596736,1
None,All,2,0.2,100,BIC,0.682078,1
None,All,7,0.2,100,BIC,0.64159,1
None,All,13,0.5,100,AIC,0.2571,0
None,All,2,0.5,100,AIC,0.2644,0
None,All,7,0.5,100,AIC,0.225068,0
None,All,13,0.5,100,BIC,0.410336,0
None,All,2,0.5,100,BIC,0.660722,1
None,All,7,0.5,100,BIC,0.455566,0
None,All,13,0.8,100,AIC,0.038722,0
None,All,2,0.8,100,AIC,0.242222,0
None,All,7,0.8,100,AIC,0.061308,0
None,All,13,0.8,100,BIC,0.001954,0
None,All,2,0.8,100,BIC,0.285822,0
None,All,7,0.8,100,BIC,0.011388,0
None,Bo,13,0.2,100,AIC,0.001338,0
None,Bo,2,0.2,100,AIC,0.001286,0
None,Bo,7,0.2,100,AIC,0.001582,0
None,Bo,13,0.2,100,BIC,0.007106,0
None,Bo,2,0.2,100,BIC,0.00728,0
None,Bo,7,0.2,100,BIC,0.009346,0
None,Bo,13,0.5,100,AIC,0.001678,0
None,Bo,2,0.5,100,AIC,0.001582,0
None,Bo,7,0.5,100,AIC,0.00206,0
None,Bo,13,0.5,100,BIC,0.012906,0
None,Bo,2,0.5,100,BIC,0.007876,0
None,Bo,7,0.5,100,BIC,0.016198,0
None,Bo,13,0.8,100,AIC,0.002826,0
None,Bo,2,0.8,100,AIC,0.003132,0
None,Bo,7,0.8,100,AIC,0.00165,0
None,Bo,13,0.8,100,BIC,0.004508,0
None,Bo,2,0.8,100,BIC,0.011358,0
None,Bo,7,0.8,100,BIC,0.00493,0
None,Mave,13,0.2,100,AIC,0.794332,1
None,Mave,2,0.2,100,AIC,0.380606,0
None,Mave,7,0.2,100,AIC,0.546612,1
None,Mave,13,0.2,100,BIC,0.900958,1
None,Mave,2,0.2,100,BIC,0.880416,1
None,Mave,7,0.2,100,BIC,0.863544,1
None,Mave,13,0.5,100,AIC,0.519342,1
None,Mave,2,0.5,100,AIC,0.3727,0
None,Mave,7,0.5,100,AIC,0.449788,0
None,Mave,13,0.5,100,BIC,0.342924,0
None,Mave,2,0.5,100,BIC,0.832078,1
None,Mave,7,0.5,100,BIC,0.55842,1
None,Mave,13,0.8,100,AIC,0.05185,0
None,Mave,2,0.8,100,AIC,0.27054,0
None,Mave,7,0.8,100,AIC,0.1065,0
None,Mave,13,0.8,100,BIC,0.003994,0
None,Mave,2,0.8,100,BIC,0.333108,0
None,Mave,7,0.8,100,BIC,0.027184,0
None,Rey,13,0.2,100,AIC,0.210956,0
None,Rey,2,0.2,100,AIC,0.263152,0
None,Rey,7,0.2,100,AIC,0.214458,0
None,Rey,13,0.2,100,BIC,0.451374,0
None,Rey,2,0.2,100,BIC,0.644384,1
None,Rey,7,0.2,100,BIC,0.48575,0
None,Rey,13,0.5,100,AIC,0.242718,0
None,Rey,2,0.5,100,AIC,0.24544,0
None,Rey,7,0.5,100,AIC,0.210418,0
None,Rey,13,0.5,100,BIC,0.372528,0
None,Rey,2,0.5,100,BIC,0.627604,1
None,Rey,7,0.5,100,BIC,0.395622,0
None,Rey,13,0.8,100,AIC,0.045796,0
None,Rey,2,0.8,100,AIC,0.225724,0
None,Rey,7,0.8,100,AIC,0.069094,0
None,Rey,13,0.8,100,BIC,0.002458,0
None,Rey,2,0.8,100,BIC,0.23777,0
None,Rey,7,0.8,100,BIC,0.013594,0
None,Tess,13,0.2,100,AIC,0.261948,0
None,Tess,2,0.2,100,AIC,0.380328,0
None,Tess,7,0.2,100,AIC,0.276374,0
None,Tess,13,0.2,100,BIC,0.546462,1
None,Tess,2,0.2,100,BIC,0.668142,1
None,Tess,7,0.2,100,BIC,0.579736,1
None,Tess,13,0.5,100,AIC,0.198454,0
None,Tess,2,0.5,100,AIC,0.46302,0
None,Tess,7,0.5,100,AIC,0.47541,0
None,Tess,13,0.5,100,BIC,0.12043,0
None,Tess,2,0.5,100,BIC,0.74368,1
None,Tess,7,0.5,100,BIC,0.438636,0
None,Tess,13,0.8,100,AIC,3.34e-4,0
None,Tess,2,0.8,100,AIC,0.486502,0
None,Tess,7,0.8,100,AIC,0.001092,0
None,Tess,13,0.8,100,BIC,1e-5,0
None,Tess,2,0.8,100,BIC,0.329032,0
None,Tess,7,0.8,100,BIC,8.8e-5,0
